Date,Forecasted_Sales
2017-12-31,3674.133
2018-01-01,2441.9087
2018-01-02,1758.3053
2018-01-03,847.794
2018-01-04,1638.912
2018-01-05,2463.7935
2018-01-06,835.1587
2018-01-07,2453.9475
2018-01-08,2223.8652
2018-01-09,818.17957
2018-01-10,712.4625
2018-01-11,1153.4924
2018-01-12,1111.8029
2018-01-13,1349.3878
2018-01-14,1098.6526
2018-01-15,961.4637
2018-01-16,1009.6497
2018-01-17,539.7407
2018-01-18,1529.6373
2018-01-19,1163.8564
2018-01-20,1219.6581
2018-01-21,2771.9006
2018-01-22,813.1027
2018-01-23,3037.8606
2018-01-24,1408.3242
2018-01-25,514.124
2018-01-26,964.8106
2018-01-27,988.95154
2018-01-28,929.5375
2018-01-29,586.13617
